BJD - 2454833, Corrected Flux
2772.637005913, 0.999475730,
2772.657437697, 0.999444790,
2772.677869381, 0.999437817,
2772.718732748, 0.999579059,
2772.739164431, 0.999822730,
2772.759596114, 0.999781981,
2772.780027797, 0.999745151,
2772.800459480, 0.999740441,
2772.820891263, 0.999722455,
2772.841322946, 0.999672061,
2772.861754528, 0.999741054,
2772.882186311, 0.999708128,
2772.902617993, 0.999727420,
2772.923049576, 0.999769286,
2772.943481358, 0.999787101,
2772.963913040, 0.999754807,
2772.984344622, 0.999738167,
2773.004776404, 0.999741187,
2773.025208086, 0.999739980,
2773.045639667, 0.999746103,
2773.066071449, 0.999760211,
2773.086503130, 0.999777587,
2773.106934712, 0.999761447,
2773.127366493, 0.999772510,
2773.147798074, 0.999755262,
2773.168229855, 0.999802313,
2773.188661536, 0.999777880,
2773.209093217, 0.999766285,
2773.229524898, 0.999744366,
2773.249956578, 0.999722412,
2773.270388259, 0.999711369,
2773.290819939, 0.999926003,
2773.311251620, 0.999730258,
2773.331683300, 0.999741079,
2773.352114980, 0.999753023,
2773.372546660, 0.999787678,
2773.392978340, 0.999806595,
2773.413410120, 0.999736732,
2773.433841699, 0.999748361,
2773.454273479, 0.999769845,
2773.474705158, 0.999827157,
2773.495136738, 0.999777037,
2773.515568517, 0.999817640,
2773.536000196, 0.999822346,
2773.556431775, 0.999835463,
2773.576863554, 0.999844992,
2773.597295233, 0.999832875,
2773.617726812, 0.999867397,
2773.638158591, 0.999815233,
2773.658590269, 0.999774248,
2773.679021948, 0.999823318,
2773.699453626, 0.999815329,
2773.719885305, 0.999802368,
2773.740316983, 0.999801249,
2773.760748661, 0.999767242,
2773.781180339, 0.999825351,
2773.801612017, 0.999852927,
2773.822043695, 0.999772112,
2773.842475372, 0.999818000,
2773.862907150, 0.999726520,
2773.883338728, 0.999757339,
2773.903770405, 0.999778522,
2773.924202182, 0.999842411,
2773.944633760, 0.999719397,
2773.965065437, 0.999703545,
2773.985497214, 0.999673249,
2774.005928791, 0.999713142,
2774.026360568, 0.999762461,
2774.046792244, 0.999647676,
2774.067223821, 0.999665495,
2774.087655598, 0.999606485,
2774.108087274, 0.999733214,
2774.128518850, 0.999700747,
2774.148950627, 0.999766733,
2774.189813879, 0.999705431,
2774.210245655, 0.999689169,
2774.230677331, 0.999774190,
2774.251109007, 0.999737739,
2774.271540682, 0.999696377,
2774.291972358, 0.999673210,
2774.312404133, 0.999695553,
2774.332835809, 0.999699108,
2774.353267384, 0.999699629,
2774.373699160, 0.999753468,
2774.394130835, 0.999759161,
2774.414562410, 0.999757759,
2774.434994185, 0.999710700,
2774.455425860, 0.999735741,
2774.475857435, 0.999695166,
2774.496289209, 0.999703057,
2774.516720784, 0.999666428,
2774.537152458, 0.999697192,
2774.557584233, 0.999673742,
2774.578015807, 0.999651008,
2774.598447581, 0.999636799,
2774.618879255, 0.999639296,
2774.639310830, 0.999669756,
2774.700605951, 0.999716877,
2774.721037625, 0.999692182,
2774.741469299, 0.999605269,
2774.761900972, 0.999538930,
2774.782332646, 0.999577701,
2774.802764319, 0.999663486,
2774.823195992, 0.999668288,
2774.843627765, 0.999594580,
2774.864059339, 0.999610011,
2774.884491112, 0.999620545,
2774.904922785, 0.999633221,
2774.925354357, 0.999641861,
2774.945786130, 0.999607616,
2774.966217803, 0.999593159,
2774.986649375, 0.999595034,
2775.007081148, 0.999582592,
2775.027512820, 0.999611087,
2775.047944393, 0.999651192,
2775.068376165, 0.999675159,
2775.088807837, 0.999628605,
2775.109239409, 0.999657799,
2775.129671181, 0.999614940,
2775.150102853, 0.999558957,
2775.170534625, 0.999580273,
2775.190966197, 0.999570725,
2775.211397868, 0.999496047,
2775.231829540, 0.999468252,
2775.252261211, 0.999541263,
2775.272692883, 0.999503840,
2775.293124554, 0.999544518,
2775.313556225, 0.999553753,
2775.333987896, 0.999599015,
2775.354419567, 0.999632995,
2775.374851238, 0.999578703,
2775.415714680, 0.999958144,
2775.436146251, 0.999574236,
2775.456577921, 0.999683488,
2775.477009692, 0.999494237,
2775.497441263, 0.999581186,
2775.517873033, 0.999597788,
2775.538304703, 0.999657272,
2775.558736274, 0.999666056,
2775.579168044, 0.999691804,
2775.599599714, 0.999575192,
2775.620031284, 0.999676066,
2775.660894724, 0.999578975,
2775.681326394, 0.999541290,
2775.701758063, 0.999538564,
2775.722189733, 0.999564564,
2775.742621402, 0.999620612,
2775.763053072, 0.999543104,
2775.783484741, 0.999529744,
2775.803916511, 0.999585240,
2775.824348080, 0.999591753,
2775.844779749, 0.999600105,
2775.865211518, 0.999613628,
2775.885643187, 0.999639062,
2775.906074756, 0.999612726,
2775.926506525, 0.999610402,
2775.946938094, 0.999544221,
2775.967369762, 0.999609245,
2775.987801531, 0.999543475,
2776.008233099, 0.999573331,
2776.028664768, 0.999589149,
2776.049096536, 0.999613681,
2776.069528105, 0.999597374,
2776.089959873, 0.999555207,
2776.110391541, 0.999562678,
2776.130823109, 0.999608285,
2776.151254877, 0.999642248,
2776.171686545, 0.999586103,
2776.192118113, 0.999626826,
2776.212549881, 0.999684710,
2776.232981549, 0.999700738,
2776.253413216, 0.999680049,
2776.273844884, 0.999670423,
2776.294276551, 0.999675670,
2776.314708219, 0.999653601,
2776.335139886, 0.999648778,
2776.355571553, 0.999620980,
2776.376003321, 0.999657928,
2776.396434988, 0.999603369,
2776.416866555, 0.999674276,
2776.437298322, 0.999640790,
2776.457729989, 0.999637473,
2776.478161556, 0.999683794,
2776.498593322, 0.999688410,
2776.519024989, 0.999673125,
2776.539456556, 0.999707921,
2776.559888322, 0.999672527,
2776.580319989, 0.999671659,
2776.600751555, 0.999674865,
2776.662046654, 0.999695252,
2776.682478320, 0.999715800,
2776.702909986, 0.999697933,
2776.723341652, 0.999775924,
2776.743773318, 0.999777624,
2776.764204984, 0.999784720,
2776.784636650, 0.999726313,
2776.805068316, 0.999773318,
2776.825499982, 0.999788055,
2776.845931647, 0.999771646,
2776.866363313, 0.999754481,
2776.886794978, 0.999745793,
2776.907226744, 0.999717167,
2776.927658309, 0.999719126,
2776.948090074, 0.999731832,
2776.968521739, 0.999670121,
2776.988953305, 0.999802906,
2777.009385070, 0.999751412,
2777.029816735, 0.999752478,
2777.050248300, 0.999754599,
2777.070680065, 0.999772771,
2777.091111729, 0.999743889,
2777.111543294, 0.999780598,
2777.131975059, 0.999808967,
2777.152406724, 0.999820000,
2777.172838288, 0.999803314,
2777.193270053, 0.999796407,
2777.213701717, 0.999727588,
2777.234133481, 0.999769026,
2777.254565046, 0.999770310,
2777.274996710, 0.999854266,
2777.295428474, 0.999803117,
2777.315860038, 0.999770349,
2777.336291702, 0.999799086,
2777.356723366, 0.999737849,
2777.377155130, 0.999793795,
2777.397586694, 0.999781170,
2777.418018458, 0.999713407,
2777.438450022, 0.999782739,
2777.458881685, 0.999832117,
2777.479313449, 0.999881695,
2777.499745013, 0.999789556,
2777.520176776, 0.999901376,
2777.540608440, 0.999811809,
2777.561040003, 0.999826120,
2777.581471766, 0.999856884,
2777.601903430, 0.999973103,
2777.622334993, 0.999839401,
2777.642766756, 0.999869981,
2777.663198419, 0.999838843,
2777.683629982, 0.999851080,
